date,nav,div
2017-08-31,10000,0
2017-09-01,10005,0
2017-09-04,9995,0
2017-09-05,9980,0
2017-09-06,9814,0
2017-09-07,9894,0
2017-09-08,9823,0
2017-09-11,9811,0
2017-09-12,10015,0
2017-09-13,10105,0
2017-09-14,10158,0
2017-09-15,10112,0
2017-09-19,10261,0
2017-09-20,10287,0
2017-09-21,10375,0
2017-09-22,10319,0
2017-09-25,10348,0
2017-09-26,10238,0
2017-09-27,10315,0
2017-09-28,10407,0
2017-09-29,10401,0
2017-10-02,10444,0
2017-10-03,10502,0
2017-10-04,10492,0
2017-10-05,10526,0
2017-10-06,10596,0
2017-10-10,10555,0
2017-10-11,10537,0
2017-10-12,10568,0
2017-10-13,10537,0
2017-10-16,10527,0
2017-10-17,10559,0
2017-10-18,10563,0
2017-10-19,10645,0
2017-10-20,10629,0
2017-10-23,10790,0
2017-10-24,10698,0
2017-10-25,10767,0
2017-10-26,10685,0
2017-10-27,10754,0
2017-10-30,10802,0
2017-10-31,10708,0
2017-11-01,10786,0
2017-11-02,10820,0
2017-11-06,10890,0
2017-11-07,10844,0
2017-11-08,10844,0
2017-11-09,10888,0
2017-11-10,10787,0
2017-11-13,10807,0
2017-11-14,10816,0
2017-11-15,10777,0
2017-11-16,10681,0
2017-11-17,10761,0
2017-11-20,10658,0
2017-11-21,10718,0
2017-11-22,10761,0
2017-11-24,10667,0
2017-11-27,10707,0
2017-11-28,10636,0
2017-11-29,10802,0
2017-11-30,10839,0
2017-12-01,10976,0
2017-12-04,10981,0
2017-12-05,10940,0
2017-12-06,10900,0
2017-12-07,10903,0
2017-12-08,11013,0
2017-12-11,11108,0
2017-12-12,11139,0
2017-12-13,11140,0
2017-12-14,11076,0
2017-12-15,10993,0
2017-12-18,11124,0
2017-12-19,11174,0
2017-12-20,11167,0
2017-12-21,11185,0
2017-12-22,11226,0
2017-12-25,11204,0
2017-12-26,11217,0
2017-12-27,11208,0
2017-12-28,11221,0
2017-12-29,11194,0
2018-01-04,11277,0
2018-01-05,11334,0
2018-01-09,11463,0
2018-01-10,11413,0
2018-01-11,11300,0
2018-01-12,11355,0
2018-01-15,11397,0
2018-01-16,11391,0
2018-01-17,11302,0
2018-01-18,11510,0
2018-01-19,11469,0
2018-01-22,11483,0
2018-01-23,11599,0
2018-01-24,11552,0
2018-01-25,11464,0
2018-01-26,11499,0
2018-01-29,11520,0
2018-01-30,11478,0
2018-01-31,11327,0
2018-02-01,11381,0
2018-02-02,11396,0
2018-02-05,11200,0
2018-02-06,10651,0
2018-02-07,10880,0
2018-02-08,10824,0
2018-02-09,10375,0
2018-02-13,10662,0
2018-02-14,10604,0
2018-02-15,10650,0
2018-02-16,10723,0
2018-02-19,10728,0
2018-02-20,10779,0
2018-02-21,10790,0
2018-02-22,10729,0
2018-02-23,10692,0
2018-02-26,10853,0
2018-02-27,10975,0
2018-02-28,10889,0
2018-03-01,10705,0
2018-03-02,10519,0
2018-03-05,10501,0
2018-03-06,10685,0
2018-03-07,10652,0
2018-03-08,10698,0
2018-03-09,10810,0
2018-03-12,11019,0
2018-03-13,10946,0
2018-03-14,10911,0
2018-03-15,10784,0
2018-03-16,10801,0
2018-03-19,10782,0
2018-03-20,10651,0
2018-03-22,10598,0
2018-03-23,10262,0
2018-03-26,10054,0
2018-03-27,10384,0
2018-03-28,10196,0
2018-03-29,10301,0
2018-03-30,10381,0
2018-04-02,10387,0
2018-04-03,10107,0
2018-04-04,10305,0
2018-04-05,10454,0
2018-04-06,10564,0
2018-04-09,10299,0
2018-04-10,10326,0
2018-04-11,10532,0
2018-04-12,10455,0
2018-04-13,10593,0
2018-04-16,10571,0
2018-04-17,10616,0
2018-04-18,10741,0
2018-04-19,10778,0
2018-04-20,10716,0
2018-04-23,10661,0
2018-04-24,10752,0
2018-04-25,10621,0
2018-04-26,10694,0
2018-04-27,10798,0
2018-05-01,10722,0
2018-05-02,10800,0
2018-05-07,10746,0
2018-05-08,10778,0
2018-05-09,10815,0
2018-05-10,10988,0
2018-05-11,11044,0
2018-05-14,11048,0
2018-05-15,11103,0
2018-05-16,11085,0
2018-05-17,11135,0
2018-05-18,11190,0
2018-05-21,11176,0
2018-05-22,11244,0
2018-05-23,11203,0
2018-05-24,11116,0
2018-05-25,11084,0
2018-05-28,11051,0
2018-05-29,11023,0
2018-05-30,10815,0
2018-05-31,10984,0
2018-06-01,10935,0
2018-06-04,11125,0
2018-06-05,11201,0
2018-06-06,11202,0
