date,nav,div
2015-12-18,10000,0
2015-12-21,10000,0
2015-12-22,10029,0
2015-12-24,10231,0
2015-12-25,10170,0
2015-12-28,10204,0
2015-12-29,10172,0
2015-12-30,10286,0
2016-01-04,10104,0
2016-01-05,9823,0
2016-01-06,9804,0
2016-01-07,9648,0
2016-01-08,9389,0
2016-01-12,9249,0
2016-01-13,9323,0
2016-01-14,9152,0
2016-01-15,9260,0
2016-01-18,8966,0
2016-01-19,8988,0
2016-01-20,9028,0
2016-01-21,8851,0
2016-01-22,8961,0
2016-01-25,9225,0
2016-01-26,9081,0
2016-01-27,9210,0
2016-01-28,9191,0
2016-01-29,9374,0
2016-02-01,9595,0
2016-02-02,9580,0
2016-02-03,9302,0
2016-02-04,9190,0
2016-02-05,9174,0
2016-02-08,9023,0
2016-02-09,8727,0
2016-02-10,8643,0
2016-02-12,8361,0
2016-02-15,8594,0
2016-02-16,8756,0
2016-02-17,8815,0
2016-02-18,8959,0
2016-02-19,8855,0
2016-02-22,8825,0
2016-02-23,8927,0
2016-02-24,8754,0
2016-02-25,8739,0
2016-02-26,8932,0
2016-02-29,8982,0
2016-03-01,8850,0
2016-03-02,9157,0
2016-03-03,9185,0
2016-03-04,9225,0
2016-03-07,9289,0
2016-03-08,9248,0
2016-03-09,9102,0
2016-03-10,9216,0
2016-03-11,9210,0
2016-03-14,9436,0
2016-03-15,9429,0
2016-03-16,9331,0
2016-03-17,9364,0
2016-03-18,9303,0
2016-03-22,9379,0
2016-03-23,9392,0
2016-03-24,9344,0
2016-03-25,9372,0
2016-03-28,9377,0
2016-03-29,9384,0
2016-03-30,9423,0
2016-03-31,9500,0
2016-04-01,9452,0
2016-04-04,9379,0
2016-04-05,9320,0
2016-04-06,9153,0
2016-04-07,9185,0
2016-04-08,9020,0
2016-04-11,9017,0
2016-04-12,9014,0
2016-04-13,9142,0
2016-04-14,9309,0
2016-04-15,9353,0
2016-04-18,9198,0
2016-04-19,9356,0
2016-04-20,9439,0
2016-04-21,9489,0
2016-04-22,9430,0
2016-04-25,9577,0
2016-04-26,9518,0
2016-04-27,9576,0
2016-04-28,9457,0
2016-05-02,9076,0
2016-05-06,9016,0
2016-05-09,9026,0
2016-05-10,9124,0
2016-05-11,9288,0
2016-05-12,9169,0
2016-05-13,9191,0
2016-05-16,9123,0
2016-05-17,9207,0
2016-05-18,9145,0
2016-05-19,9247,0
2016-05-20,9183,0
2016-05-23,9237,0
2016-05-24,9164,0
2016-05-25,9360,0
2016-05-26,9397,0
2016-05-27,9430,0
2016-05-30,9526,0
2016-05-31,9560,0
2016-06-01,9498,0
2016-06-02,9387,0
2016-06-03,9364,0
2016-06-06,9171,0
2016-06-07,9301,0
2016-06-08,9323,0
2016-06-09,9307,0
2016-06-10,9280,0
2016-06-13,9083,0
2016-06-14,8970,0
2016-06-15,8891,0
2016-06-16,8877,0
2016-06-17,8797,0
2016-06-20,8835,0
